run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
45,2025-05-29 01:30:00,2025-07-23 01:50:00,2025-07-23 02:00:00,2025-07-24 01:50:00,7920,144,0.20902549476396415,0.30588874065373733,0.9942906146492209,13.687159723635894,24.04872075939977,0.9931001169532635,0.010420378942285296,0.01852966356226291,0.9940751538480411
46,2025-05-29 01:30:00,2025-07-24 01:50:00,2025-07-24 02:00:00,2025-07-25 01:50:00,8064,144,0.29083570522816804,0.3902666354626448,0.9915968217343037,20.458078591995147,36.73899194830615,0.9814872644631846,0.01080619823553581,0.022008011365372383,0.9906000606021398
47,2025-05-29 01:30:00,2025-07-25 01:50:00,2025-07-25 02:00:00,2025-07-26 01:50:00,8208,144,0.28256050887185286,0.3698969751518305,0.990195211701661,21.54005853665282,40.039980016873194,0.975507560528808,0.019471859465819644,0.03143954924891997,0.9789160169151966
48,2025-05-29 01:30:00,2025-07-26 01:50:00,2025-07-26 02:00:00,2025-07-27 01:50:00,8352,144,0.33606983289978376,0.4763289672475561,0.9832480322685783,16.183068741526643,30.191003186818698,0.9866651122878373,0.021492321426489668,0.026624117379155664,0.9854460468787944
49,2025-05-29 01:30:00,2025-07-27 01:50:00,2025-07-27 02:00:00,2025-07-28 01:50:00,8496,144,0.3674929657067364,0.48628371104672663,0.9877399648683798,17.795009292497575,26.883413542514607,0.9901156383076072,0.01775875463664451,0.03070051112979927,0.9807073820696534
50,2025-05-29 01:30:00,2025-07-28 01:50:00,2025-07-28 02:00:00,2025-07-29 01:50:00,8640,144,0.283667498636284,0.3844874899620052,0.9868426316334614,16.308960456943254,30.91636732655419,0.9882260862391693,0.01579183919810906,0.021925966038389977,0.9907817001202525
51,2025-05-29 01:30:00,2025-07-29 01:50:00,2025-07-29 02:00:00,2025-07-30 01:50:00,8784,144,0.27935394871576374,0.39132900268449644,0.9835122542886943,33.44644018521516,63.44034016994015,0.9463322066538506,0.019985231777900944,0.037916384018042724,0.9693355646629991
52,2025-05-29 01:30:00,2025-07-30 01:50:00,2025-07-30 02:00:00,2025-07-31 01:50:00,8928,144,0.2524448429015347,0.3753380486273709,0.9840274102581699,15.646459132450461,31.332646726375874,0.9882448042509259,0.012188727178813932,0.02332126689907093,0.9900981496753536
53,2025-05-29 01:30:00,2025-07-31 01:50:00,2025-07-31 02:00:00,2025-08-01 02:00:00,9072,144,0.24517046766874348,0.3539334126404298,0.9835495128638633,22.212577411408,41.808889654872274,0.9771107540572289,0.015430622127290692,0.02831473655068064,0.9825021141396337
54,2025-05-29 01:30:00,2025-08-01 02:00:00,2025-08-01 02:10:00,2025-08-02 03:10:00,9216,144,0.18856661978366093,0.255461740520414,0.994076631913282,18.289822180342426,33.16820747532751,0.9856936092601261,0.010766298748537882,0.019789207397836104,0.9923020325713612
55,2025-05-29 01:30:00,2025-08-02 03:10:00,2025-08-02 03:20:00,2025-08-03 03:10:00,9360,144,0.24494129629077094,0.3588276448030876,0.987629016277758,12.674447182576849,25.062997524179917,0.9923022001729065,0.00909265785197026,0.01646960506338476,0.9942621947083052
56,2025-05-29 01:30:00,2025-08-03 03:10:00,2025-08-03 03:20:00,2025-08-04 03:10:00,9504,144,0.27401013067375724,0.34863882997750417,0.9898512873882968,15.473634392143358,31.263490309332195,0.9892443198643457,0.00962344308904453,0.019456984747699056,0.9933559045793473
57,2025-05-29 01:30:00,2025-08-04 03:10:00,2025-08-04 03:20:00,2025-08-05 03:10:00,9648,144,0.26251531445891424,0.34852081104208127,0.9914606472503406,12.851302054237543,24.56836841362172,0.9926062054021825,0.009702744352348261,0.01893484741309264,0.9934211467254093
58,2025-05-29 01:30:00,2025-08-05 03:10:00,2025-08-05 03:20:00,2025-08-06 03:10:00,9792,144,0.23459338840548613,0.3168742655878358,0.9912432801240832,12.706845120445728,24.55937389439637,0.9927152286555448,0.009724494877240829,0.019546383377602772,0.9921322285943892
